date,close,open,max,min,var
01/01/1991,342.00,341.00,342.00,341.00,0.03
01/02/1991,340.00,339.50,340.00,339.00,-0.01
01/03/1991,345.50,345.00,348.50,339.50,0.02
01/04/1991,338.75,338.00,346.25,337.50,-0.02
01/05/1991,342.00,341.50,343.50,338.00,0.01
01/06/1991,347.25,346.50,349.25,339.50,0.02
01/07/1991,348.00,347.50,350.50,346.00,0.00
01/08/1991,355.00,354.50,355.00,347.50,0.02
01/09/1991,360.50,360.00,361.00,357.50,0.02
01/10/1991,360.50,360.00,361.50,358.00,0.00
01/11/1991,369.00,368.50,372.00,360.00,0.02
01/12/1991,379.00,378.00,381.50,369.50,0.03
01/01/1992,354.50,353.00,379.00,353.00,-0.06
01/02/1992,351.00,350.50,358.50,349.00,-0.01
01/03/1992,355.50,355.00,359.50,347.50,0.01
01/04/1992,352.50,352.00,355.50,351.00,-0.01
01/05/1992,352.00,352.50,356.00,347.00,0.00
01/06/1992,359.50,352.00,361.50,350.00,0.02
01/07/1992,366.00,356.00,370.00,355.50,0.02
01/08/1992,386.50,365.50,388.00,365.50,0.06
01/09/1992,381.50,386.50,389.00,377.50,-0.01
01/10/1992,376.50,380.50,381.00,373.50,-0.01
01/11/1992,381.75,374.00,381.95,373.00,0.01
01/12/1992,381.50,381.50,383.50,376.50,0.00
01/01/1993,385.35,383.70,388.35,382.50,0.01
01/02/1993,396.50,386.00,397.00,385.70,0.03
01/03/1993,404.50,395.50,405.20,394.70,0.02
01/04/1993,416.00,404.00,416.50,401.70,0.03
01/05/1993,416.70,415.00,422.50,413.00,0.00
01/06/1993,414.50,416.00,416.50,407.50,-0.01
01/07/1993,405.95,414.00,415.65,403.20,-0.02
01/08/1993,408.35,406.20,409.30,405.70,0.01
01/09/1993,410.85,408.45,410.95,406.30,0.01
01/10/1993,412.25,411.30,413.70,411.10,0.00
01/11/1993,419.05,411.85,421.85,409.60,0.02
01/12/1993,428.50,418.90,432.90,418.90,0.02
01/01/1994,431.35,428.00,434.60,428.00,0.01
01/02/1994,429.15,430.35,431.15,426.00,-0.01
01/03/1994,426.55,428.70,433.65,425.45,-0.01
01/04/1994,425.25,426.50,428.85,420.60,0.00
01/05/1994,421.55,424.70,427.75,421.20,-0.01
01/06/1994,418.50,421.50,424.10,416.70,-0.01
