date,open
01/08/2015,2.83
01/09/2015,1.35
01/10/2015,0.69
01/11/2015,1.06
01/12/2015,0.88
01/01/2016,0.95
01/02/2016,2.22
01/03/2016,7.56
01/04/2016,11.64
01/05/2016,8.83
01/06/2016,13.86
01/07/2016,12.33
01/08/2016,10.97
01/09/2016,12.00
01/10/2016,13.27
01/11/2016,10.79
01/12/2016,8.44
01/01/2017,8.06
01/02/2017,10.70
01/03/2017,17.17
01/04/2017,50.43
01/05/2017,76.85
01/06/2017,221.83
01/07/2017,262.48
01/08/2017,227.08
01/09/2017,386.34
01/10/2017,299.67
01/11/2017,292.33
01/12/2017,469.86
01/01/2018,776.08
01/02/2018,1106.14
01/03/2018,846.37
01/04/2018,395.80
01/05/2018,662.73
01/06/2018,571.73
01/07/2018,449.43
01/08/2018,432.35
01/09/2018,282.22
01/10/2018,232.78
01/11/2018,198.64
01/12/2018,113.40
01/01/2019,131.46
01/02/2019,106.34
01/03/2019,135.49
01/04/2019,141.59
01/05/2019,160.74
01/06/2019,268.13
01/07/2019,292.84
01/08/2019,218.61
01/09/2019,172.07
01/10/2019,179.76
01/11/2019,182.76
01/12/2019,151.74
01/01/2020,129.19
01/02/2020,179.23
01/03/2020,218.35
01/04/2020,133.24
01/05/2020,205.56
01/06/2020,232.33
