date,close,open,max,min,var
01/01/1991,2.96,2.95,2.96,2.94,0.00
01/02/1991,2.97,2.96,2.97,2.96,0.00
01/03/1991,2.98,2.97,2.98,2.97,0.00
01/04/1991,3.00,2.99,3.00,2.97,0.01
01/05/1991,3.01,3.00,3.01,3.00,0.00
01/06/1991,3.02,3.01,3.02,3.01,0.00
01/07/1991,3.04,3.02,3.04,3.02,0.01
01/08/1991,3.04,3.04,3.05,3.04,0.00
01/09/1991,3.06,3.05,3.06,3.04,0.01
01/10/1991,3.07,3.06,3.07,3.06,0.00
01/11/1991,3.06,3.07,3.08,3.06,0.00
01/12/1991,3.07,3.06,3.09,3.06,0.00
01/01/1992,3.07,3.08,3.09,3.07,0.00
01/02/1992,3.06,3.06,3.07,3.06,0.00
01/03/1992,3.06,3.06,3.09,3.06,0.00
01/04/1992,3.08,3.06,3.08,3.06,0.01
01/05/1992,3.11,3.08,3.12,3.08,0.01
01/06/1992,3.12,3.11,3.12,3.11,0.00
01/07/1992,3.11,3.12,3.12,3.10,0.00
01/08/1992,3.08,3.12,3.12,3.08,-0.01
01/09/1992,3.11,3.07,3.12,3.06,0.01
01/10/1992,3.12,3.11,3.14,3.11,0.00
01/11/1992,3.11,3.12,3.13,3.11,0.00
01/12/1992,3.12,3.11,3.14,3.11,0.00
01/01/1993,3.11,3.12,3.16,3.09,0.00
01/02/1993,3.10,3.11,3.10,3.09,0.00
01/03/1993,3.09,3.10,3.12,3.09,0.00
01/04/1993,3.11,3.09,3.12,3.09,0.01
01/05/1993,3.12,3.11,3.15,3.10,0.00
01/06/1993,3.13,3.12,3.13,3.10,0.00
01/07/1993,3.12,3.13,3.14,3.12,0.00
01/08/1993,3.11,3.11,3.12,3.10,0.00
01/09/1993,3.12,3.11,3.12,3.10,0.00
01/10/1993,3.13,3.12,3.13,3.10,0.00
01/11/1993,3.11,3.14,3.27,3.11,-0.01
01/12/1993,3.11,3.10,3.12,3.10,0.00
01/01/1994,3.11,3.12,3.13,3.11,0.00
01/02/1994,3.18,3.11,3.23,3.11,0.02
01/03/1994,3.36,3.16,3.36,3.16,0.06
01/04/1994,3.27,3.37,3.37,3.26,-0.03
01/05/1994,3.32,3.27,3.35,3.26,0.02
01/06/1994,3.39,3.32,3.39,3.31,0.02
01/07/1994,3.40,3.39,3.41,3.38,0.00
01/08/1994,3.39,3.40,3.41,3.29,0.00
01/09/1994,3.40,3.39,3.42,3.35,0.00
01/10/1994,3.44,3.40,3.44,3.39,0.01
01/11/1994,3.44,3.44,3.45,3.42,0.00
01/12/1994,5.00,3.54,5.75,3.53,0.45
01/01/1995,5.74,4.95,6.60,4.82,0.15
01/02/1995,5.97,5.72,6.13,5.26,0.04
01/03/1995,6.79,5.96,7.70,5.89,0.14
01/04/1995,5.92,6.80,6.82,5.77,-0.13
01/05/1995,6.19,5.91,6.26,5.76,0.05
01/06/1995,6.25,6.17,6.31,6.07,0.01
01/07/1995,6.11,6.25,6.27,5.97,-0.02
01/08/1995,6.26,6.11,6.37,6.09,0.03
01/09/1995,6.39,6.25,6.46,6.22,0.02
01/10/1995,7.08,6.40,7.33,6.39,0.11
01/11/1995,7.54,7.08,8.27,7.02,0.07
01/12/1995,7.70,7.55,7.84,7.49,0.02
01/01/1996,7.37,7.70,7.70,7.29,-0.04
01/02/1996,7.61,7.37,7.64,7.36,0.03
01/03/1996,7.53,7.60,7.66,7.50,-0.01
